time,open,high,low,close,volume
2005-01-04,8.32,8.32,8.32,8.32,1100
2005-01-05,8.24,8.24,8.24,8.24,2000
2005-01-06,8.24,8.24,8.24,8.24,0
2005-01-07,8.24,8.24,8.24,8.24,3000
2005-01-10,8.24,8.24,8.24,8.24,340
2005-01-11,8.24,8.24,8.24,8.24,2940
2005-01-12,8.24,8.24,8.24,8.24,0
2005-01-13,8.45,8.45,8.45,8.45,10
2005-01-14,8.45,8.45,8.45,8.45,0
2005-01-17,8.32,8.32,8.32,8.32,260
2005-01-18,8.24,8.24,8.24,8.24,100
2005-01-19,8.19,8.19,8.19,8.19,1360
2005-01-20,8.19,8.19,8.19,8.19,1650
2005-01-21,8.19,8.19,8.19,8.19,150
2005-01-24,8.14,8.14,8.14,8.14,130
2005-01-25,8.14,8.14,8.14,8.14,0
2005-01-26,8.14,8.14,8.14,8.14,0
2005-01-27,8.14,8.14,8.14,8.14,180
2005-01-28,8.19,8.19,8.19,8.19,850
2005-01-31,7.95,7.95,7.95,7.95,1580
2005-02-01,8.08,8.08,8.08,8.08,1020
2005-02-02,8.19,8.19,8.19,8.19,100
2005-02-03,8.19,8.19,8.19,8.19,1000
2005-02-04,8.32,8.32,8.32,8.32,100
2005-02-14,8.32,8.32,8.32,8.32,350
2005-02-15,8.32,8.32,8.32,8.32,1500
2005-02-16,8.32,8.32,8.32,8.32,70
2005-02-17,8.24,8.24,8.24,8.24,110
2005-02-18,8.14,8.14,8.14,8.14,1000
2005-02-21,8.19,8.19,8.19,8.19,50
2005-02-22,8.19,8.19,8.19,8.19,0
2005-02-23,8.24,8.24,8.24,8.24,30
2005-02-24,8.32,8.32,8.32,8.32,10
2005-02-25,8.3,8.3,8.3,8.3,500
2005-02-28,8.19,8.19,8.19,8.19,1670
2005-03-01,8.16,8.16,8.16,8.16,380
2005-03-02,8.19,8.19,8.19,8.19,1000
2005-03-03,8.3,8.3,8.3,8.3,20
2005-03-04,8.32,8.32,8.32,8.32,11500
2005-03-07,8.32,8.32,8.32,8.32,5440
2005-03-08,8.27,8.27,8.27,8.27,350
2005-03-09,8.3,8.3,8.3,8.3,1000
2005-03-10,8.16,8.16,8.16,8.16,2830
2005-03-11,8.19,8.19,8.19,8.19,5020
2005-03-14,8.27,8.27,8.27,8.27,2000
2005-03-15,8.27,8.27,8.27,8.27,2100
2005-03-16,8.3,8.3,8.3,8.3,3120
2005-03-17,8.27,8.27,8.27,8.27,1600
2005-03-18,8.19,8.19,8.19,8.19,500
2005-03-21,8.32,8.32,8.32,8.32,10640
2005-03-22,8.32,8.32,8.32,8.32,1000
2005-03-23,8.32,8.32,8.32,8.32,3750
2005-03-24,8.4,8.4,8.4,8.4,9780
2005-03-25,8.4,8.4,8.4,8.4,8340
2005-03-28,8.24,8.24,8.24,8.24,1750
2005-03-29,8.24,8.24,8.24,8.24,1150
2005-03-30,8.24,8.24,8.24,8.24,80
2005-03-31,8.24,8.24,8.24,8.24,1680
2005-04-01,8.27,8.27,8.27,8.27,4000
2005-04-04,8.27,8.27,8.27,8.27,1050
2005-04-05,8.32,8.32,8.32,8.32,1010
2005-04-06,8.43,8.43,8.43,8.43,3530
2005-04-07,8.45,8.45,8.45,8.45,10300
2005-04-08,8.53,8.53,8.53,8.53,2550
2005-04-11,8.56,8.56,8.56,8.56,170
2005-04-12,8.53,8.53,8.53,8.53,3430
2005-04-13,8.45,8.45,8.45,8.45,190
2005-04-14,8.4,8.4,8.4,8.4,300
2005-04-15,8.4,8.4,8.4,8.4,220
2005-04-18,8.32,8.32,8.32,8.32,3200
2005-04-19,8.24,8.24,8.24,8.24,1240
2005-04-20,8.24,8.24,8.24,8.24,0
2005-04-21,8.3,8.3,8.3,8.3,20
2005-04-22,8.3,8.3,8.3,8.3,200
2005-04-25,8.24,8.24,8.24,8.24,900
2005-04-26,8.24,8.24,8.24,8.24,110
2005-04-27,8.24,8.24,8.24,8.24,910
2005-04-28,8.06,8.06,8.06,8.06,100
2005-04-29,8.19,8.19,8.19,8.19,170
2005-05-04,8.19,8.19,8.19,8.19,0
2005-05-05,8.19,8.19,8.19,8.19,290
2005-05-06,8.19,8.19,8.19,8.19,0
2005-05-09,8.16,8.16,8.16,8.16,1610
2005-05-10,8.16,8.16,8.16,8.16,1820
2005-05-11,8.16,8.16,8.16,8.16,0
2005-05-12,8.16,8.16,8.16,8.16,0
2005-05-13,8.19,8.19,8.19,8.19,10
2005-05-16,8.08,8.08,8.08,8.08,1510
