time,open,high,low,close,volume
2005-01-08,0.0,0.0,0.0,0.0,0
2005-02-11,7.16,7.16,7.16,0.0,100
2005-02-12,0.0,0.0,0.0,0.0,0
2005-03-08,10.71,0.0,0.0,0.0,0
2005-03-10,9.53,0.0,0.0,0.0,0
2005-04-11,0.0,0.0,0.0,0.0,0
2005-05-08,11.17,0.0,0.0,0.0,0
2005-05-09,0.0,0.0,0.0,0.0,0
2005-05-10,8.68,0.0,0.0,0.0,0
2005-05-12,0.0,0.0,0.0,0.0,0
2005-07-09,0.0,0.0,0.0,0.0,0
2005-07-10,0.0,0.0,0.0,0.0,0
2005-07-11,7.82,7.82,7.82,0.0,100
2005-07-12,0.0,0.0,0.0,0.0,0
2005-07-14,9.86,10.12,10.12,10.12,0
2005-07-18,10.52,10.52,10.52,10.52,0
2005-07-20,11.17,11.17,11.17,11.17,0
2005-07-22,10.52,10.52,10.52,10.52,0
2005-07-25,10.52,10.52,10.52,10.52,0
2005-07-27,10.52,10.52,10.52,10.52,0
2005-07-29,10.71,11.17,11.17,11.17,0
2005-08-08,11.17,11.17,11.17,11.17,0
2005-08-15,11.17,11.17,11.17,11.17,0
2005-08-17,11.17,11.17,11.17,11.17,0
2005-08-19,11.17,11.17,11.17,11.17,0
2005-08-22,11.17,11.17,11.17,11.17,0
2005-08-24,11.17,11.17,11.17,11.17,0
2005-08-26,11.17,11.17,11.17,11.17,0
2005-08-29,11.17,11.17,11.17,11.17,0
2005-08-31,11.17,11.17,11.17,11.17,0
2005-09-09,12.29,0.0,0.0,0.0,0
2005-09-11,12.29,12.29,12.29,12.29,0
2005-09-12,12.29,12.29,12.29,12.29,0
2005-09-14,12.29,12.29,12.29,12.29,0
2005-09-16,12.29,12.29,12.29,12.29,0
2005-09-19,13.47,13.15,13.15,13.15,0
2005-09-21,11.83,11.83,11.83,11.83,0
2005-09-23,10.65,10.65,10.65,10.65,0
2005-09-26,9.6,9.6,9.6,9.6,0
2005-09-28,8.68,8.68,8.68,8.68,0
2005-09-30,0.0,0.0,0.0,0.0,0
2005-10-08,11.17,8.68,8.68,8.68,0
2005-10-10,7.82,7.82,7.82,7.82,0
2005-10-14,7.1,7.1,7.1,7.1,0
2005-10-17,6.57,6.57,6.57,6.57,0
2005-10-19,7.23,7.23,7.23,7.23,0
2005-10-21,7.23,7.23,7.23,7.23,0
2005-10-24,7.23,7.23,7.23,7.23,0
2005-10-26,7.23,7.23,7.23,7.23,0
2005-10-28,7.95,7.95,7.95,7.95,0
2005-10-31,7.82,7.82,7.82,7.82,0
2005-11-11,7.82,7.82,7.82,7.82,0
2005-11-14,7.82,7.82,7.82,7.82,0
2005-11-16,7.89,7.89,7.89,7.89,200
2005-11-18,7.89,7.89,7.89,7.89,0
2005-11-21,7.89,7.89,7.89,7.89,0
2005-11-23,7.89,7.89,7.89,7.89,3300
2005-11-25,7.89,7.89,7.89,7.89,0
2005-11-28,7.89,7.89,7.89,7.89,0
2005-11-30,7.89,7.89,7.89,7.89,200
2005-12-08,7.89,7.89,7.89,7.89,0
2005-12-09,7.89,7.89,7.89,7.89,0
2005-12-10,7.82,7.89,7.89,7.89,0
2005-12-12,7.89,7.89,7.89,7.89,0
2005-12-14,7.89,7.89,7.89,7.89,0
2005-12-16,7.1,7.1,7.1,7.1,200
2005-12-19,7.1,7.1,7.1,7.1,0
2005-12-21,7.1,7.1,7.1,7.1,0
2005-12-23,7.1,7.1,7.1,7.1,0
2005-12-26,7.1,7.1,7.1,7.1,0
2005-12-28,7.1,7.1,7.1,7.1,0
2005-12-30,7.1,7.1,7.1,7.1,0
2006-01-04,7.1,7.1,7.1,7.1,0
2006-01-06,7.1,7.1,7.1,7.1,0
2006-01-09,7.1,7.1,7.1,7.1,0
2006-01-11,7.1,7.1,7.1,7.1,0
2006-01-13,7.1,7.1,7.1,7.1,0
2006-01-16,7.1,7.1,7.1,7.1,0
2006-01-18,7.1,7.1,7.1,7.1,0
2006-01-20,7.1,7.1,7.1,7.1,0
2006-01-23,7.1,7.1,7.1,7.1,0
2006-01-25,7.1,7.1,7.1,7.1,0
2006-01-27,7.1,7.1,7.1,7.1,0
2006-02-06,7.1,7.1,7.1,7.1,0
2006-02-08,7.1,7.1,7.1,7.1,0
2006-02-10,7.1,7.1,7.1,7.1,0
2006-02-13,7.56,7.56,7.56,7.1,100
2006-02-15,7.1,7.1,7.1,7.1,0
2006-02-17,7.1,7.1,7.1,7.1,0
2006-02-20,7.1,7.1,7.1,7.1,0
2006-02-22,7.1,7.1,7.1,7.1,0
2006-02-24,7.1,7.1,7.1,7.1,0
2006-02-27,7.1,7.1,7.1,7.1,0
2006-03-01,7.1,7.1,7.1,7.1,0
2006-03-03,7.1,7.1,7.1,7.1,0
2006-03-06,7.1,7.1,7.1,7.1,0
2006-03-08,7.1,7.1,7.1,7.1,0
2006-03-10,7.1,7.1,7.1,7.1,0
2006-03-13,7.1,7.1,7.1,7.1,0
2006-03-15,7.56,7.56,7.56,7.1,100
2006-03-17,7.69,7.69,7.69,7.1,100
2006-03-20,7.1,7.1,7.1,7.1,0
2006-03-22,7.89,8.08,7.89,7.1,1300
2006-03-24,7.1,7.1,7.1,7.1,0
2006-03-27,8.81,8.81,8.81,7.1,200
2006-03-29,9.66,9.66,9.66,7.1,400
2006-03-31,10.52,10.52,10.52,7.1,300
2006-04-03,11.44,11.44,11.44,11.44,600
2006-04-05,12.49,12.55,12.16,12.42,5100
2006-04-07,11.24,13.15,11.24,11.7,13100
2006-04-10,12.82,12.82,12.82,12.82,700
2006-04-12,12.82,12.82,12.75,12.03,300
2006-04-14,12.03,12.03,12.03,12.03,0
2006-04-17,12.16,12.49,12.16,12.36,4500
2006-04-19,12.62,12.62,12.62,12.62,900
2006-04-21,13.15,13.8,13.15,13.54,5900
2006-04-24,13.8,14.85,13.8,14.53,4200
2006-04-26,15.97,15.97,15.97,15.97,3700
2006-04-28,17.55,17.55,16.43,16.83,4800
2006-05-03,17.75,18.08,16.43,17.02,800
2006-05-05,18.54,18.67,17.09,18.01,4600
2006-05-08,19.72,19.72,17.75,19.06,2100
2006-05-10,17.42,17.42,17.42,17.42,800
2006-05-12,17.09,19.13,17.09,18.8,7000
2006-05-15,16.96,17.09,16.96,17.02,1500
2006-05-17,17.09,17.09,15.38,15.71,1100
2006-05-19,16.43,16.43,16.43,16.43,200
2006-05-22,16.1,16.1,16.1,16.1,100
2006-05-24,15.97,15.97,15.45,15.71,200
