time,open,high,low,close,volume
2011-04-26,2.13,2.15,2.13,2.15,6000
2011-04-27,2.13,2.15,2.15,2.15,0
2011-04-28,2.13,2.15,2.15,2.15,0
2011-04-29,2.13,2.15,2.15,2.15,0
2011-05-04,2.21,2.21,2.21,2.21,400
2011-05-05,2.21,2.21,2.21,2.21,1300
2011-05-06,2.21,2.21,2.21,2.21,0
2011-05-09,2.21,2.21,2.21,2.21,700
2011-05-10,2.21,2.21,2.21,2.21,1300
2011-05-11,2.21,2.21,2.21,2.21,6900
2011-05-12,2.24,2.24,2.24,2.24,2600
2011-05-13,2.07,2.24,2.24,2.24,0
2011-05-16,2.07,2.24,2.24,2.24,0
2011-05-17,2.21,2.21,2.21,2.21,300
2011-05-18,2.27,2.36,2.27,2.36,200
2011-05-19,2.33,2.33,2.33,2.33,1000
2011-05-20,2.54,2.54,2.54,2.54,100
2011-05-23,2.54,2.54,2.54,2.54,0
2011-05-24,2.54,2.54,2.54,2.54,0
2011-05-25,2.66,2.66,2.66,2.66,3000
2011-05-26,2.66,2.66,2.66,2.66,0
2011-05-27,2.66,2.66,2.66,2.66,3200
2011-05-30,2.6,2.6,2.6,2.6,1200
2011-05-31,2.6,2.6,2.6,2.6,0
2011-06-01,2.6,2.66,2.6,2.66,12100
2011-06-02,2.66,2.66,2.66,2.66,4400
2011-06-03,2.66,2.66,2.66,2.66,0
2011-06-06,2.66,2.66,2.66,2.66,6500
2011-06-07,2.66,2.66,2.66,2.66,200
2011-06-08,2.66,2.66,2.66,2.66,0
2011-06-09,2.66,2.66,2.66,2.66,0
2011-06-10,2.66,2.66,2.66,2.66,0
2011-06-13,2.66,2.66,2.66,2.66,0
2011-06-14,2.66,2.66,2.66,2.66,0
2011-06-15,2.66,2.66,2.66,2.66,0
2011-06-16,2.66,2.66,2.66,2.66,0
2011-06-17,2.66,2.66,2.66,2.66,0
2011-06-20,2.66,2.66,2.66,2.66,0
2011-06-21,2.66,2.66,2.66,2.66,0
2011-06-22,2.66,2.92,2.66,2.92,600
2011-06-23,2.89,2.89,2.89,2.89,0
2011-06-24,2.89,2.92,2.92,2.92,0
2011-06-27,2.95,2.95,2.95,2.95,10000
2011-06-28,2.95,2.95,2.95,2.95,0
2011-06-29,2.95,2.95,2.95,2.95,0
2011-06-30,2.95,2.95,2.95,2.95,0
2011-07-01,2.95,2.95,2.95,2.95,0
2011-07-04,2.92,2.92,2.92,2.92,3700
2011-07-05,2.95,2.95,2.95,2.95,20800
2011-07-06,2.95,2.95,2.95,2.95,500
2011-07-07,2.95,2.95,2.95,2.95,1100
2011-07-08,2.95,2.95,2.95,2.95,100
2011-07-11,2.95,2.95,2.95,2.95,0
2011-07-12,2.8,2.8,2.8,2.8,800
2011-07-13,2.66,2.8,2.66,2.8,3600
2011-07-14,2.69,2.95,2.69,2.95,2400
2011-07-15,2.8,2.95,2.8,2.95,10000
2011-07-18,2.95,2.95,2.95,2.95,100
2011-07-19,2.95,2.95,2.95,2.95,0
2011-07-20,2.95,2.95,2.95,2.95,0
2011-07-21,2.95,2.95,2.95,2.95,0
2011-07-22,2.95,2.95,2.95,2.95,0
2011-07-25,2.66,2.66,2.66,2.66,900
2011-07-26,2.66,2.92,2.66,2.92,3200
2011-07-27,2.95,2.95,2.95,2.95,1100
2011-07-28,2.95,2.95,2.95,2.95,0
2011-07-29,2.95,2.95,2.95,2.95,6800
2011-08-01,2.95,2.95,2.95,2.95,0
2011-08-02,2.66,2.66,2.66,2.66,500
2011-08-03,2.66,2.66,2.66,2.66,0
2011-08-04,2.92,2.92,2.92,2.92,500
2011-08-05,2.92,2.92,2.92,2.92,300
2011-08-08,2.95,2.95,2.95,2.95,2600
2011-08-09,2.95,2.95,2.95,2.95,4300
2011-08-10,2.95,2.95,2.95,2.95,2400
2011-08-11,2.95,2.95,2.95,2.95,1800
2011-08-12,2.95,2.95,2.95,2.95,0
2011-08-15,2.95,2.95,2.95,2.95,1900
2011-08-16,2.95,2.95,2.95,2.95,8300
2011-08-17,2.95,2.95,2.95,2.95,1200
2011-08-18,2.95,2.95,2.95,2.95,0
2011-08-19,2.95,2.95,2.95,2.95,7700
2011-08-22,2.95,2.95,2.95,2.95,2000
2011-08-23,2.95,2.95,2.95,2.95,14100
2011-08-24,2.95,2.95,2.95,2.95,0
2011-08-25,2.95,2.95,2.95,2.95,0
2011-08-26,2.95,2.95,2.95,2.95,4400
2011-08-29,2.95,2.95,2.95,2.95,0
2011-08-30,2.95,2.95,2.95,2.95,7300
2011-08-31,2.95,2.95,2.95,2.95,0
2011-09-01,2.95,2.95,2.95,2.95,0
2011-09-05,2.95,2.95,2.95,2.95,0
2011-09-06,2.95,2.95,2.95,2.95,0
2011-09-07,2.95,2.95,2.95,2.95,4000
2011-09-08,2.95,2.95,2.95,2.95,0
2011-09-09,2.95,2.95,2.95,2.95,3200
2011-09-12,2.95,2.95,2.95,2.95,0
2011-09-13,2.95,2.95,2.95,2.95,0
2011-09-14,2.95,2.95,2.95,2.95,0
2011-09-15,2.95,2.95,2.95,2.95,0
2011-09-16,2.95,2.95,2.95,2.95,0
2011-09-19,2.66,2.66,2.66,2.66,2100
2011-09-20,2.66,2.66,2.66,2.66,0
2011-09-21,2.66,2.66,2.66,2.66,0
2011-09-22,2.66,2.66,2.66,2.66,0
2011-09-23,2.92,2.92,2.92,2.92,100
2011-09-26,2.95,2.95,2.95,2.95,2000
2011-09-27,2.95,2.95,2.95,2.95,0
2011-09-28,2.95,2.95,2.95,2.95,0
2011-09-29,2.95,2.95,2.95,2.95,1700
2011-09-30,2.95,3.04,2.66,2.66,89000
2011-10-03,2.69,2.69,2.69,2.69,2300
2011-10-04,2.69,2.69,2.69,2.69,0
2011-10-05,2.95,2.95,2.95,2.95,1000
2011-10-06,2.95,2.95,2.95,2.95,0
2011-10-07,2.95,2.95,2.95,2.95,0
2011-10-10,2.95,2.95,2.95,2.95,2000
2011-10-11,2.95,2.95,2.95,2.95,0
2011-10-12,2.95,2.95,2.95,2.95,0
2011-10-13,2.95,2.95,2.95,2.95,0
2011-10-14,2.95,2.95,2.95,2.95,0
2011-10-17,2.95,2.95,2.95,2.95,0
2011-10-18,2.95,2.95,2.95,2.95,0
2011-10-19,2.95,2.95,2.95,2.95,0
2011-10-20,2.95,2.95,2.95,2.95,0
2011-10-21,2.95,2.95,2.95,2.95,0
2011-10-24,2.95,2.95,2.95,2.95,400
2011-10-25,2.95,2.95,2.95,2.95,0
2011-10-26,2.74,2.74,2.74,2.74,100
2011-10-27,2.74,2.74,2.74,2.74,0
2011-10-28,2.74,2.74,2.74,2.74,0
2011-10-31,3.01,3.01,2.74,2.74,800
2011-11-01,2.95,2.95,2.95,2.95,200
2011-11-02,2.95,2.95,2.95,2.95,300
