time,open,high,low,close,volume
2006-12-27,10.85,10.85,10.85,10.85,1000
2006-12-28,11.38,11.38,11.38,11.38,25000
2006-12-29,11.95,11.95,11.95,11.95,13090
2007-01-02,12.54,12.54,12.54,12.54,310
2007-01-03,12.54,13.15,12.54,13.15,1000
2007-01-04,13.15,13.79,13.15,13.79,3030
2007-01-05,14.46,14.46,14.46,14.46,33330
2007-01-08,15.13,15.13,15.13,15.13,41230
2007-01-09,15.8,15.8,15.8,15.8,11740
2007-01-10,16.47,16.47,16.47,16.47,5530
2007-01-11,16.47,17.28,16.47,17.28,810
2007-01-12,18.08,18.08,18.08,18.08,11500
2007-01-15,18.08,18.08,17.41,17.41,19590
2007-01-16,17.41,17.41,16.61,16.61,11380
2007-01-17,15.8,15.8,15.8,15.8,19600
2007-01-18,15.8,15.8,15.53,15.53,15890
2007-01-19,15.53,16.2,14.87,16.2,4370
2007-01-22,16.2,17.01,15.8,17.01,2810
2007-01-23,16.2,17.01,16.2,16.2,11010
2007-01-24,16.2,17.01,16.2,17.01,4390
2007-01-25,17.01,17.01,16.34,16.34,7550
2007-01-26,16.34,16.34,16.34,16.34,1900
2007-01-29,16.34,16.87,16.34,16.87,5950
2007-01-30,16.87,16.87,16.87,16.87,6890
2007-01-31,16.87,17.14,16.87,17.14,6500
2007-02-01,17.14,17.28,17.14,17.28,300
2007-02-02,17.28,17.28,17.28,17.28,0
2007-02-05,17.28,17.28,16.74,17.28,13480
2007-02-06,17.81,17.81,17.81,17.81,1310
2007-02-07,17.81,17.81,17.41,17.41,400
2007-02-08,17.41,17.41,17.41,17.41,9200
2007-02-09,17.81,18.21,16.87,16.87,6490
2007-02-12,16.87,16.87,16.87,16.87,800
2007-02-13,16.87,17.68,16.87,17.68,3610
2007-02-14,17.68,18.48,17.68,17.95,1080
2007-02-15,17.95,18.75,17.95,18.75,2500
2007-02-26,18.75,19.69,18.75,19.69,5000
2007-02-27,19.69,20.62,19.69,20.62,4160
2007-02-28,21.43,21.43,20.62,20.62,7200
2007-03-01,20.62,21.56,20.62,20.62,3100
2007-03-02,21.56,21.56,21.56,21.56,2800
2007-03-05,22.5,22.63,22.5,22.63,4000
2007-03-06,23.57,23.57,23.57,23.57,6900
2007-03-07,24.64,24.64,22.77,22.77,1730
2007-03-08,22.77,22.77,22.77,22.77,880
2007-03-09,22.77,22.77,21.7,21.7,910
2007-03-12,21.7,22.23,21.7,22.23,2700
2007-03-13,22.23,23.3,22.23,22.23,930
2007-03-14,22.23,22.23,21.7,21.7,1500
2007-03-15,21.7,21.7,20.62,20.62,4100
2007-03-16,20.62,20.62,19.69,19.69,12400
2007-03-19,19.69,19.82,19.69,19.82,15150
