time,open,high,low,close,volume
2006-12-14,23.32,23.32,23.32,23.32,200
2006-12-15,23.32,23.32,23.32,23.32,0
2006-12-18,23.32,23.32,23.32,23.32,0
2006-12-19,23.58,23.58,23.58,23.32,800
2006-12-20,23.53,23.53,23.53,23.53,100
2006-12-21,24.36,24.36,24.36,24.36,100
2006-12-22,24.36,24.36,24.36,24.36,0
2006-12-25,24.36,24.36,24.36,24.36,0
2006-12-26,24.36,24.36,24.36,24.36,0
2006-12-27,23.84,23.84,23.84,23.84,600
2006-12-28,23.84,23.84,23.84,23.84,0
2006-12-29,23.84,23.84,23.84,23.84,0
2007-01-02,21.77,21.77,21.77,23.84,1000
2007-01-03,21.51,21.51,21.51,21.51,500
2007-01-04,21.51,21.51,21.51,21.51,0
2007-01-05,21.51,21.51,21.51,21.51,0
2007-01-08,21.51,21.51,21.51,21.51,100
2007-01-09,21.77,21.77,21.77,21.77,100
2007-01-10,21.77,21.77,21.77,21.77,1500
2007-01-11,22.29,22.29,20.73,20.73,800
2007-01-12,20.73,20.73,20.73,20.73,0
2007-01-15,20.73,20.73,20.73,20.73,0
2007-01-16,20.21,20.21,20.21,20.21,200
2007-01-17,20.73,20.73,20.73,20.73,300
2007-01-18,21.25,21.25,20.73,20.73,900
2007-01-19,20.21,20.21,20.21,20.21,200
2007-01-22,20.21,20.21,20.21,20.21,0
2007-01-23,20.21,20.21,20.21,20.21,0
2007-01-24,18.66,18.66,18.66,18.66,500
2007-01-25,20.47,20.52,18.66,18.66,2500
2007-01-26,20.21,20.21,18.66,18.66,1800
2007-01-29,18.66,18.66,18.66,18.66,0
2007-01-30,18.66,18.66,18.66,18.66,0
2007-01-31,19.18,19.18,19.18,19.18,900
2007-02-01,21.09,21.09,19.69,19.69,4000
2007-02-02,20.73,20.73,20.73,20.73,500
2007-02-05,21.77,22.29,21.77,22.29,900
2007-02-06,24.25,24.25,24.25,24.25,4300
2007-02-07,26.64,26.64,26.64,26.64,11100
2007-02-08,27.83,27.83,27.83,27.83,3500
2007-02-09,30.58,30.58,27.83,30.06,8900
2007-02-12,29.54,32.91,29.02,29.54,5900
2007-02-13,29.54,29.54,29.07,29.54,2200
2007-02-14,29.39,29.39,29.39,29.39,300
2007-02-15,29.39,29.39,29.39,29.39,2500
2007-02-26,29.02,31.1,29.02,31.1,5500
2007-02-27,32.39,33.07,32.39,33.07,5300
2007-02-28,36.23,36.23,29.7,35.76,7000
2007-03-01,34.72,34.72,34.21,34.21,9600
2007-03-02,33.69,37.73,33.17,34.21,9700
2007-03-05,36.02,36.02,33.69,35.76,10400
2007-03-06,36.8,38.04,36.8,37.32,9200
2007-03-07,35.76,39.91,35.76,37.83,7700
2007-03-08,40.63,40.63,38.87,40.63,8600
2007-03-09,44.36,44.36,42.5,42.5,11900
2007-03-12,42.5,43.28,40.42,41.98,12100
2007-03-13,42.5,44.83,40.94,44.83,15500
2007-03-14,46.64,46.8,41.98,44.83,21600
2007-03-15,45.61,50.38,45.61,50.38,19800
2007-03-16,53.95,53.95,50.53,53.95,8200
2007-03-19,58.05,58.05,57.01,58.05,20800
2007-03-20,62.19,63.85,52.24,58.3,22500
2007-03-21,59.08,59.08,54.94,58.56,12000
2007-03-22,58.05,58.05,54.94,55.97,2200
2007-03-23,55.45,55.97,54.42,54.42,3100
2007-03-26,60.64,60.64,57.01,54.42,15200
