time,open,high,low,close,volume
2006-12-21,29.31,29.31,28.36,28.36,1200
2006-12-22,30.16,30.16,26.28,26.28,200
2006-12-25,25.53,25.53,25.53,25.53,200
2006-12-26,25.53,25.53,25.53,25.53,0
2006-12-27,25.53,25.53,25.53,25.53,0
2006-12-28,25.53,25.53,25.53,25.53,0
2006-12-29,25.53,25.53,25.53,25.53,0
2007-01-02,25.53,25.53,25.53,25.53,0
2007-01-03,23.64,23.64,23.64,23.64,1000
2007-01-04,23.64,23.64,23.64,23.64,0
2007-01-05,23.64,23.64,23.64,23.64,0
2007-01-08,23.64,23.64,23.64,23.64,0
2007-01-09,24.11,24.11,24.11,24.11,9600
2007-01-10,24.11,24.11,24.11,24.11,0
2007-01-11,24.11,24.11,24.11,24.11,0
2007-01-12,24.11,24.11,24.11,24.11,0
2007-01-15,24.11,24.11,24.11,24.11,0
2007-01-16,24.11,24.11,24.11,24.11,0
2007-01-17,24.11,24.11,24.11,24.11,0
2007-01-18,24.11,24.11,24.11,24.11,0
2007-01-19,24.11,24.11,24.11,24.11,200
2007-01-22,24.11,24.11,24.11,24.11,0
2007-01-23,24.11,24.11,24.11,24.11,0
2007-01-24,24.11,24.11,24.11,24.11,0
2007-01-25,24.11,24.11,24.11,24.11,0
2007-01-26,24.11,24.11,24.11,24.11,0
2007-01-29,24.11,24.11,24.11,24.11,0
2007-01-30,24.11,24.11,24.11,24.11,0
2007-01-31,25.15,25.15,25.15,25.15,100
2007-02-01,25.15,25.15,25.15,25.15,3000
2007-02-02,25.15,25.15,25.15,25.15,0
2007-02-05,25.15,25.15,25.15,25.15,0
2007-02-06,25.15,25.15,25.15,25.15,0
2007-02-07,27.61,27.61,27.61,27.61,200
2007-02-08,29.5,29.5,29.5,29.5,100
2007-02-09,32.43,32.43,32.43,32.43,100
2007-02-12,33.94,33.94,33.94,33.94,400
2007-02-13,35.45,35.45,35.45,35.45,500
2007-02-14,36.4,38.95,36.4,38.95,2900
2007-02-15,42.45,42.45,42.45,42.45,2300
2007-02-26,46.61,46.61,46.61,46.61,500
2007-02-27,51.24,51.24,51.24,51.24,4500
2007-02-28,56.35,56.35,55.78,55.78,2200
2007-03-01,61.64,61.64,61.64,61.64,1000
2007-03-02,67.79,67.79,67.79,61.64,900
2007-03-05,74.5,74.5,74.5,74.5,3500
2007-03-06,81.87,81.87,81.87,81.87,4000
2007-03-07,83.76,83.76,81.3,83.76,2400
2007-03-08,84.14,84.9,84.14,84.9,2700
2007-03-09,85.09,86.22,84.14,84.14,1500
2007-03-12,84.14,84.14,84.14,84.14,0
2007-03-13,76.77,76.77,76.77,76.77,100
2007-03-14,76.77,76.77,76.77,76.77,100
2007-03-15,76.77,76.77,76.77,76.77,0
2007-03-16,69.11,69.11,69.11,69.11,1400
2007-03-19,72.32,72.32,62.4,69.49,6500
2007-03-20,75.63,75.63,65.23,69.96,17500
2007-03-21,69.96,78.0,69.96,78.0,1300
2007-03-22,76.58,77.52,74.69,74.69,1200
2007-03-23,77.52,77.52,75.63,75.63,3000
2007-03-26,75.63,75.63,72.8,75.63,1900
2007-03-27,75.63,75.63,75.63,75.63,0
2007-03-28,66.37,66.37,66.37,66.37,100
2007-03-29,66.18,67.12,66.18,67.12,1300
2007-03-30,72.98,72.98,72.98,67.12,1000
2007-04-02,75.63,75.63,72.8,72.8,2300
2007-04-03,66.18,66.18,66.18,66.18,1000
2007-04-04,68.07,68.07,68.07,68.07,300
2007-04-05,71.85,72.8,71.85,72.7,500
2007-04-06,72.7,72.7,72.7,72.7,0
