time,open,high,low,close,volume
2006-12-14,9.11,9.11,9.11,9.11,10000
2006-12-15,10.0,10.0,10.0,10.97,100
2006-12-18,10.97,10.97,10.59,10.97,1100
2006-12-19,11.78,11.78,11.65,10.97,500
2006-12-20,12.8,12.84,12.75,12.75,1100
2006-12-21,14.07,14.07,14.07,14.07,400
2006-12-22,13.56,13.56,13.56,13.56,700
2006-12-25,13.56,13.56,13.56,13.56,0
2006-12-26,13.56,13.56,13.56,13.56,0
2006-12-27,13.56,13.77,13.56,13.56,2000
2006-12-28,13.56,13.77,13.56,13.56,2000
2006-12-29,13.56,13.56,13.56,13.56,0
2007-01-02,13.56,13.56,13.56,13.56,0
2007-01-03,13.56,13.56,13.56,13.56,0
2007-01-04,13.56,13.56,13.56,13.56,0
2007-01-05,13.56,13.56,13.56,13.56,0
2007-01-08,13.56,13.56,13.56,13.56,0
2007-01-09,13.56,13.56,13.56,13.56,0
2007-01-10,13.56,13.56,13.56,13.56,0
2007-01-11,12.33,12.33,12.33,12.33,100
2007-01-12,12.33,12.33,12.33,12.33,0
2007-01-15,12.33,12.33,12.33,12.33,0
2007-01-16,12.33,12.33,12.33,12.33,0
2007-01-17,12.33,12.33,12.33,12.33,0
2007-01-18,11.1,11.1,11.1,11.1,100
2007-01-19,11.1,11.1,11.1,11.1,0
2007-01-22,11.1,11.1,11.1,11.1,500
2007-01-23,11.1,11.1,11.1,11.1,0
2007-01-24,11.1,11.1,11.1,11.1,0
2007-01-25,10.17,10.17,10.17,10.17,300
2007-01-26,9.32,10.0,9.32,10.0,1900
2007-01-29,9.96,9.96,9.53,9.53,2200
2007-01-30,10.47,10.47,10.47,10.47,500
2007-01-31,11.48,11.48,11.48,11.48,900
2007-02-01,11.48,11.48,11.48,11.48,0
2007-02-02,12.63,12.63,12.29,12.29,2000
2007-02-05,13.73,13.73,13.73,13.73,500
2007-02-06,13.98,14.2,13.98,14.2,800
2007-02-07,14.83,14.83,14.83,14.83,500
2007-02-08,16.1,16.31,13.56,16.31,4100
2007-02-09,16.95,16.95,16.1,16.1,2300
2007-02-12,15.25,15.25,15.25,15.25,200
2007-02-13,15.68,15.68,15.68,15.68,300
2007-02-14,15.68,15.68,15.68,15.68,0
2007-02-15,16.36,16.36,16.36,16.36,500
2007-02-26,16.36,17.8,16.31,17.8,4900
2007-02-27,18.56,18.56,18.43,18.56,5000
2007-02-28,20.38,20.38,20.38,20.38,2100
2007-03-01,22.42,22.42,22.42,22.42,2000
2007-03-02,22.42,22.42,22.42,22.42,0
2007-03-05,24.62,24.62,24.62,24.62,200
2007-03-06,27.08,27.08,27.08,27.08,500
2007-03-07,29.75,29.75,29.75,29.75,2100
2007-03-08,32.71,32.71,32.71,32.71,700
2007-03-09,35.59,35.98,35.59,35.59,2900
2007-03-12,39.45,39.45,38.14,38.98,6400
2007-03-13,38.98,40.26,37.12,38.14,7700
2007-03-14,38.14,38.98,34.75,38.14,9300
2007-03-15,34.45,34.45,34.45,34.45,1000
2007-03-16,31.02,31.02,31.02,31.02,4500
2007-03-19,34.11,34.11,34.11,34.11,1300
2007-03-20,33.9,37.5,33.9,37.5,1300
2007-03-21,36.44,36.44,35.59,35.59,1200
2007-03-22,33.9,33.9,33.9,33.9,500
2007-03-23,30.51,30.51,30.51,30.51,100
2007-03-26,31.82,31.82,27.46,30.51,2400
2007-03-27,26.7,26.7,26.7,30.51,200
2007-03-28,24.03,26.7,24.03,26.7,1400
2007-03-29,26.7,26.7,26.27,26.7,1400
2007-03-30,29.24,29.24,29.24,26.7,3000
2007-04-02,31.78,31.78,29.66,29.66,1400
2007-04-03,31.78,34.53,28.39,28.39,2000
2007-04-04,31.36,31.78,31.36,31.78,2000
2007-04-05,31.78,31.78,31.78,31.78,500
2007-04-06,31.78,31.78,31.78,31.78,0
2007-04-09,31.78,31.78,31.78,31.78,0
2007-04-10,31.78,31.78,31.78,31.78,0
2007-04-11,31.57,31.78,31.57,31.78,500
2007-04-12,31.78,31.78,31.78,31.78,1000
2007-04-13,31.36,31.36,30.93,30.93,1600
2007-04-16,30.93,30.93,30.93,30.93,0
2007-04-17,28.05,28.05,28.05,28.05,300
2007-04-18,25.42,26.27,25.25,26.27,2600
2007-04-19,26.48,26.48,26.48,26.48,2000
2007-04-20,28.77,29.11,26.27,26.27,1700
2007-04-23,28.39,28.39,26.27,26.27,1200
2007-04-24,28.39,28.39,27.54,27.54,200
2007-04-25,27.54,27.54,27.54,27.54,200
2007-05-02,27.54,27.54,26.7,26.7,500
2007-05-03,27.12,27.12,26.27,26.27,400
2007-05-04,25.0,25.0,24.58,25.0,1700
2007-05-07,27.33,27.33,27.33,27.33,500
2007-05-08,29.45,29.66,29.45,29.45,2500
2007-05-09,29.66,31.78,29.66,30.09,1200
