time,open,high,low,close,volume
2006-12-01,6.69,6.69,5.89,6.35,8500
2006-12-04,6.26,6.35,6.12,6.35,7900
2006-12-05,6.0,6.0,6.0,6.0,100
2006-12-06,5.77,5.77,5.77,5.77,500
2006-12-07,5.75,5.77,5.75,5.77,3400
2006-12-08,5.89,5.89,5.72,5.77,4200
2006-12-11,5.75,6.0,5.75,6.0,5400
2006-12-12,5.86,5.86,5.86,5.86,1300
2006-12-13,6.0,6.23,5.86,5.86,3500
2006-12-14,5.98,5.98,5.86,5.98,2000
2006-12-15,5.96,6.0,5.77,5.77,12300
2006-12-18,6.0,6.0,5.77,5.77,400
2006-12-19,5.77,5.82,5.77,5.77,3200
2006-12-20,5.82,5.89,5.82,5.89,6500
2006-12-21,5.82,5.82,5.72,5.77,4500
2006-12-22,5.77,5.77,5.77,5.77,2500
2006-12-25,5.77,5.77,5.77,5.77,600
2006-12-26,5.54,5.54,5.54,5.54,2500
2006-12-27,5.61,5.66,5.54,5.66,1200
2006-12-28,5.66,5.66,5.66,5.66,700
2006-12-29,5.66,5.77,5.1,5.77,9100
2007-01-02,5.72,5.72,5.68,5.77,700
2007-01-03,5.68,5.68,5.68,5.68,1700
2007-01-04,5.66,5.68,5.42,5.42,15400
2007-01-05,5.42,5.66,5.42,5.66,11100
2007-01-08,5.63,5.63,5.19,5.19,1900
2007-01-09,5.54,5.54,5.54,5.54,4000
2007-01-10,5.54,5.77,5.54,5.77,4800
2007-01-11,5.77,5.89,5.77,5.89,7000
2007-01-12,5.89,6.0,5.86,6.0,4900
2007-01-15,6.46,6.46,6.35,6.46,18400
2007-01-16,7.04,7.04,6.97,7.04,24500
2007-01-17,7.73,7.73,7.04,7.04,31000
2007-01-18,6.93,7.04,6.93,6.93,6900
2007-01-19,6.76,6.93,6.76,6.93,7100
2007-01-22,6.81,6.86,6.58,6.93,4800
2007-01-23,6.74,6.74,6.58,6.74,2200
2007-01-24,6.69,6.69,6.46,6.51,4400
2007-01-25,6.51,6.51,6.51,6.51,0
2007-01-26,6.46,6.46,6.46,6.46,4000
2007-01-29,6.46,6.46,6.23,6.46,5100
2007-01-30,6.46,6.51,6.46,6.46,4300
2007-01-31,6.58,6.69,6.46,6.46,11500
2007-02-01,6.46,6.74,6.46,6.56,5700
2007-02-02,6.58,6.58,6.23,6.46,7900
2007-02-05,6.12,6.58,6.0,6.51,7300
