time,open,high,low,close,volume
2006-12-20,23.33,37.33,23.33,37.33,13100
2006-12-21,27.72,27.72,24.08,25.2,19200
2006-12-22,24.73,24.73,24.73,24.73,200
2006-12-25,24.73,24.73,24.27,24.27,300
2006-12-26,24.27,24.27,24.27,24.27,0
2006-12-27,24.27,24.27,24.27,24.27,0
2006-12-28,24.27,24.27,24.27,24.27,0
2006-12-29,26.88,26.88,23.33,23.33,10100
2007-01-02,23.33,23.33,23.33,23.33,0
2007-01-03,23.8,23.8,23.8,23.8,100
2007-01-04,23.33,23.33,23.33,23.33,100
2007-01-05,23.33,23.33,23.33,23.33,1500
2007-01-08,23.33,23.33,23.33,23.33,0
2007-01-09,23.33,23.33,23.33,23.33,0
2007-01-10,23.33,23.33,23.33,23.33,0
2007-01-11,21.0,23.33,21.0,22.87,3000
2007-01-12,21.47,22.49,21.47,21.47,2500
2007-01-15,23.24,24.27,19.97,23.33,20900
2007-01-16,25.48,25.48,23.33,24.83,14800
2007-01-17,27.25,27.25,25.2,26.13,18900
2007-01-18,27.07,27.07,25.95,26.13,3000
2007-01-19,25.67,25.67,25.2,25.2,7700
2007-01-22,25.2,25.67,24.27,25.2,19500
2007-01-23,25.2,25.29,24.73,24.73,6000
2007-01-24,24.27,24.27,24.27,24.27,1000
2007-01-25,24.45,24.45,24.17,24.45,2100
2007-01-26,24.27,24.27,24.27,24.27,1000
2007-01-29,24.27,24.27,23.33,23.33,500
2007-01-30,24.73,24.73,24.17,24.17,2600
2007-01-31,24.27,25.76,24.27,25.57,18400
2007-02-01,26.13,27.81,25.76,27.07,17800
2007-02-02,29.03,29.03,26.6,26.6,17100
2007-02-05,27.53,27.53,26.13,27.07,11600
2007-02-06,27.07,27.07,26.6,26.97,10100
2007-02-07,26.6,27.07,26.13,26.51,3400
2007-02-08,26.32,26.32,26.23,26.23,1500
2007-02-09,25.2,25.2,25.2,25.2,4000
2007-02-12,25.01,26.13,25.01,25.76,2800
2007-02-13,26.13,26.32,25.67,25.67,11100
2007-02-14,27.07,27.07,26.13,26.6,19900
2007-02-15,27.07,29.03,27.07,29.03,12700
2007-02-26,31.27,31.45,31.27,31.45,11400
2007-02-27,34.53,34.53,34.53,34.53,22100
2007-02-28,37.99,37.99,37.99,37.99,49200
2007-03-01,41.72,41.72,41.72,41.72,61400
2007-03-02,45.83,45.83,45.83,41.72,54500
2007-03-05,50.4,50.4,50.4,50.4,17200
2007-03-06,55.44,55.44,55.44,55.44,44500
2007-03-07,60.94,60.94,60.94,60.94,76600
2007-03-08,67.01,67.01,66.92,67.01,62100
2007-03-09,73.64,73.64,63.56,63.56,44900
2007-03-12,70.0,70.0,62.9,62.9,11100
2007-03-13,57.12,58.8,57.12,57.12,17200
2007-03-14,49.93,51.42,49.93,57.12,13200
2007-03-15,44.99,44.99,44.99,44.99,17300
2007-03-16,40.51,49.46,40.51,49.46,41300
2007-03-19,47.41,47.41,47.41,47.41,21000
2007-03-20,52.08,52.08,52.08,52.08,86000
2007-03-21,56.0,57.21,52.08,55.44,19400
2007-03-22,55.06,56.0,50.4,50.4,13100
2007-03-23,48.53,48.62,47.41,48.06,14000
2007-03-26,43.87,46.66,43.21,48.06,9100
2007-03-27,39.67,41.07,39.67,48.06,5500
2007-03-28,36.03,42.93,36.03,42.93,14300
2007-03-29,40.6,40.6,40.6,40.6,400
2007-03-30,44.61,44.61,44.61,40.6,7600
2007-04-02,45.73,45.73,40.69,42.93,13900
2007-04-03,45.27,45.27,39.85,42.0,10000
2007-04-04,41.53,42.47,41.07,41.07,12400
2007-04-05,39.67,42.0,39.67,40.13,4400
2007-04-06,40.13,40.88,39.85,39.85,14400
2007-04-09,39.01,41.07,39.01,39.67,7200
2007-04-10,40.13,40.13,37.33,39.67,11300
2007-04-11,39.67,39.67,38.73,39.2,8000
2007-04-12,38.27,38.27,37.33,37.33,3300
2007-04-13,37.33,37.33,35.93,36.21,5300
2007-04-16,33.13,38.27,33.13,33.13,6900
2007-04-17,30.05,33.6,30.05,30.24,6800
2007-04-18,34.35,34.35,34.35,34.35,7200
2007-04-19,37.71,37.71,34.35,34.35,23100
2007-04-20,37.33,37.33,33.6,33.6,7500
2007-04-23,33.41,33.41,31.55,31.73,3100
2007-04-24,33.6,34.53,32.2,34.53,2400
2007-04-25,33.6,34.53,32.67,34.53,3200
2007-05-02,35.47,35.47,32.67,32.67,2600
2007-05-03,34.91,34.91,33.6,33.79,2000
2007-05-04,33.13,34.07,31.73,33.97,3300
2007-05-07,33.13,35.37,33.13,35.37,3100
2007-05-08,35.47,35.47,34.07,34.53,3000
2007-05-09,35.47,35.47,33.6,34.53,1100
2007-05-10,34.53,34.53,33.6,33.6,2300
2007-05-11,33.6,33.6,32.67,33.6,2600
2007-05-14,33.6,33.6,32.67,33.13,6800
2007-05-15,32.67,33.13,32.57,32.57,1200
2007-05-16,31.73,32.2,30.8,31.73,6600
2007-05-17,31.55,31.73,31.55,31.73,2700
2007-05-18,31.73,32.67,31.27,32.67,4700
2007-05-21,32.11,34.91,31.73,34.91,9200
2007-05-22,36.68,36.68,35.47,36.68,48800
2007-05-23,40.23,40.23,37.05,39.2,40800
2007-05-24,39.67,39.67,36.03,36.03,6100
2007-05-25,35.47,37.33,33.32,37.33,8300
2007-05-28,36.4,36.4,35.0,35.93,5600
2007-05-29,35.93,35.93,32.01,34.53,2200
2007-05-30,33.13,34.53,33.13,34.53,4500
2007-05-31,34.72,35.0,34.07,34.07,18100
2007-06-01,34.53,35.0,33.6,34.07,15100
2007-06-04,34.16,34.35,33.6,33.6,1900
2007-06-05,33.6,33.6,32.76,33.13,7700
2007-06-06,33.23,35.47,33.13,35.47,4200
2007-06-07,34.07,34.53,34.07,34.07,5200
2007-06-08,34.53,34.53,33.13,33.6,4000
2007-06-11,33.6,33.6,33.6,33.6,2800
2007-06-12,33.13,33.6,33.13,33.13,6900
2007-06-13,33.41,33.41,33.13,33.41,1500
2007-06-14,33.41,33.6,33.23,33.6,2000
2007-06-15,33.32,33.32,32.76,32.76,500
2007-06-18,32.67,32.85,32.2,32.67,1700
2007-06-19,32.67,32.67,32.2,32.67,3300
2007-06-20,32.29,32.29,32.2,32.2,1600
2007-06-21,31.73,31.73,31.73,31.73,500
2007-06-22,29.87,31.27,29.87,29.87,2600
2007-06-25,29.87,30.33,28.93,30.33,1300
2007-06-26,29.59,30.8,29.59,29.87,5500
2007-06-27,29.87,29.87,28.93,28.93,3900
2007-06-28,29.87,29.87,28.0,28.0,5500
2007-06-29,28.93,28.93,28.0,28.0,8900
2007-07-02,28.93,28.93,27.07,27.07,2400
2007-07-03,28.93,28.93,27.07,26.6,3500
2007-07-04,28.93,29.87,28.93,29.59,3600
2007-07-05,30.8,30.8,27.07,27.07,1400
2007-07-06,28.93,28.65,28.65,28.65,0
2007-07-09,28.0,28.0,28.0,28.0,2200
2007-07-10,27.07,28.93,27.07,28.93,1600
2007-07-11,29.87,29.87,28.93,28.47,3100
2007-07-12,28.93,28.93,28.0,28.0,1900
2007-07-13,27.07,28.0,27.07,27.07,1600
2007-07-16,28.0,28.0,28.0,27.53,100
2007-07-17,28.0,28.0,28.0,27.91,4600
2007-07-18,28.0,28.93,27.07,27.07,1700
2007-07-19,28.0,27.91,27.91,27.91,0
2007-07-20,28.0,28.0,27.07,27.07,2500
2007-07-23,27.07,27.07,27.07,26.69,3600
