time,open,high,low,close,volume
2006-12-27,21.96,21.96,21.96,21.96,10200
2006-12-28,21.96,21.96,21.96,21.96,0
2006-12-29,24.16,24.16,24.16,24.16,3800
2007-01-02,26.52,26.52,26.52,24.16,800
2007-01-03,29.12,29.12,29.12,29.12,1200
2007-01-04,29.12,29.12,29.12,29.12,0
2007-01-05,31.97,31.97,31.97,31.97,500
2007-01-08,32.54,33.35,32.54,32.54,4800
2007-01-09,33.76,33.76,33.76,33.76,900
2007-01-10,33.76,33.76,33.76,33.76,0
2007-01-11,33.76,33.76,33.76,33.76,0
2007-01-12,33.76,33.76,33.76,33.76,1000
2007-01-15,33.76,33.76,33.76,33.76,0
2007-01-16,33.76,33.76,33.76,33.76,0
2007-01-17,33.76,33.76,33.76,33.76,1000
2007-01-18,33.35,33.35,33.35,33.35,200
2007-01-19,31.56,31.56,31.56,31.56,800
2007-01-22,34.65,34.65,31.56,31.56,3000
2007-01-23,36.6,36.6,31.97,31.97,2100
2007-01-24,31.32,31.97,29.04,30.1,11700
2007-01-25,30.1,30.5,30.1,30.5,2300
2007-01-26,30.5,30.5,30.26,30.26,9400
2007-01-29,30.1,30.91,30.1,30.91,9600
2007-01-30,33.35,33.35,33.35,33.35,14400
2007-01-31,36.68,36.68,36.68,36.68,5800
2007-02-01,40.34,40.34,40.34,40.34,5500
2007-02-02,44.33,44.33,44.33,44.33,3200
2007-02-05,48.72,48.72,48.72,48.72,12900
2007-02-06,53.52,53.52,53.52,53.52,28600
2007-02-07,58.81,58.81,58.81,58.81,3600
2007-02-08,64.66,64.66,64.66,64.66,8700
2007-02-09,71.09,71.09,64.26,70.77,41700
2007-02-12,62.96,71.58,62.96,69.14,26100
2007-02-13,69.95,76.46,69.38,73.21,12900
2007-02-14,70.77,71.09,69.55,70.77,15900
2007-02-15,72.23,72.23,69.95,71.58,12400
2007-02-26,78.25,78.25,78.25,78.25,6600
2007-02-27,86.06,86.06,86.06,86.06,3600
2007-02-28,94.6,94.6,85.41,85.41,20400
2007-03-01,103.87,103.87,94.35,94.35,22100
2007-03-02,100.05,101.67,97.61,94.35,10600
2007-03-05,109.48,109.48,100.86,106.47,16400
2007-03-06,117.05,117.05,105.74,113.88,22300
2007-03-07,120.38,120.55,109.81,116.32,10200
2007-03-08,127.95,127.95,114.69,116.32,13700
2007-03-09,119.16,122.01,119.16,120.38,13000
2007-03-12,120.38,120.38,113.88,113.88,11700
2007-03-13,113.06,120.38,107.29,107.29,18600
2007-03-14,101.84,102.49,101.84,107.29,8700
2007-03-15,91.83,91.83,91.83,91.83,18400
2007-03-16,91.83,100.94,82.97,100.94,2300
2007-03-19,104.2,104.2,104.2,104.2,21900
2007-03-20,114.61,114.61,108.18,108.18,4300
2007-03-21,108.18,108.18,104.11,106.55,3500
2007-03-22,95.98,105.74,95.98,105.74,16800
2007-03-23,105.74,105.74,101.67,103.3,2100
2007-03-26,97.85,108.18,97.85,103.3,8700
2007-03-27,94.35,94.35,90.53,103.3,1900
2007-03-28,93.46,93.54,84.51,93.54,8000
2007-03-29,85.41,95.49,85.41,95.49,18800
2007-03-30,103.3,103.3,95.98,95.49,5900
2007-04-02,95.98,101.67,91.91,91.91,8900
2007-04-03,90.29,90.29,88.09,88.09,1300
2007-04-04,79.63,97.2,79.63,97.2,12500
2007-04-05,92.73,97.61,92.73,92.73,21100
2007-04-06,97.61,97.61,89.47,93.54,2200
2007-04-09,92.73,97.61,92.73,97.61,19500
2007-04-10,100.05,104.93,97.61,104.93,14900
2007-04-11,103.3,110.78,103.3,110.78,32200
2007-04-12,118.67,118.67,113.06,118.67,38000
2007-04-13,129.82,129.82,117.94,117.94,13000
2007-04-16,124.45,124.45,110.7,110.7,13100
2007-04-17,104.52,109.81,101.59,101.59,9500
2007-04-18,103.71,109.81,101.67,106.64,28700
2007-04-19,112.25,112.25,101.67,107.29,4300
2007-04-20,105.74,105.74,102.49,102.49,12100
2007-04-23,98.5,102.49,93.54,97.2,6400
2007-04-24,95.98,95.98,89.47,90.29,8300
2007-04-25,94.35,101.35,93.13,101.35,3800
2007-05-02,101.35,105.74,97.61,97.61,4100
2007-05-03,102.49,103.3,101.67,102.49,2100
2007-05-04,103.22,103.22,100.86,100.86,1800
2007-05-07,100.86,100.86,97.69,98.42,4800
2007-05-08,89.64,105.74,89.64,101.67,8900
2007-05-09,104.93,105.74,101.67,101.67,10300
2007-05-10,104.11,104.11,100.86,100.86,3700
2007-05-11,100.05,100.86,98.42,100.05,10700
2007-05-14,97.61,102.49,97.61,101.67,12800
2007-05-15,101.67,103.3,99.23,99.23,16800
2007-05-16,98.42,101.76,98.42,100.86,9800
2007-05-17,100.45,102.49,100.45,102.49,3100
2007-05-18,102.49,111.43,102.49,111.35,32500
2007-05-21,113.06,118.84,113.06,118.84,10100
2007-05-22,130.55,130.63,130.55,130.63,14100
2007-05-23,143.65,143.65,130.14,130.14,53000
