time,open,high,low,close,volume
2007-12-25,90.82,90.82,77.92,85.09,15800
2007-12-26,81.26,90.15,81.26,90.15,19300
2007-12-27,87.96,93.69,87.96,93.69,20700
2007-12-28,93.69,100.38,93.21,100.29,18700
2008-01-02,101.15,103.25,98.47,98.47,18200
2008-01-03,94.84,96.56,91.97,91.97,13800
2008-01-04,90.82,90.82,85.09,86.04,17300
2008-01-07,86.04,86.04,78.49,79.83,15400
2008-01-08,76.48,84.9,76.01,78.97,15000
2008-01-09,84.13,84.13,73.61,73.61,8000
2008-01-10,73.61,76.48,69.79,73.61,16800
2008-01-11,76.48,79.64,76.48,78.87,25000
2008-01-14,74.57,75.53,71.22,71.32,6300
2008-01-15,66.92,66.92,66.06,66.06,13900
2008-01-16,66.16,72.75,66.16,72.75,8000
2008-01-17,78.49,78.59,69.31,72.66,19000
2008-01-18,72.85,78.4,72.56,74.57,14800
2008-01-21,74.57,76.48,72.66,75.53,5100
2008-01-22,74.57,74.57,71.7,71.8,8200
2008-01-23,72.66,72.66,65.49,67.88,11700
2008-01-24,68.83,72.66,64.53,65.58,12600
2008-01-25,66.92,68.83,65.58,66.92,13500
2008-01-28,65.49,67.02,65.01,65.97,5600
2008-01-29,68.36,71.7,67.4,70.75,17500
2008-01-30,74.57,77.06,74.57,76.58,19600
2008-01-31,76.87,82.22,70.75,74.76,5500
2008-02-01,76.96,77.06,75.53,75.53,17000
2008-02-12,74.57,76.48,74.57,75.05,2300
2008-02-13,76.01,76.01,67.88,69.79,4900
2008-02-14,72.66,74.57,70.75,71.7,5800
2008-02-15,71.7,71.7,68.83,69.79,3300
2008-02-18,69.79,69.79,63.19,66.92,9200
2008-02-19,61.19,67.4,60.71,62.14,12200
2008-02-20,65.01,65.01,58.13,58.13,5700
2008-02-21,58.32,58.32,54.49,54.49,6200
2008-02-22,49.24,55.45,49.14,50.0,19300
2008-02-25,54.3,54.4,54.3,54.4,8900
2008-02-26,57.17,57.17,49.04,49.04,3700
2008-02-27,54.3,54.3,46.85,47.8,2400
2008-02-28,54.3,54.3,46.37,46.46,8400
2008-02-29,48.66,48.76,45.89,45.89,17900
2008-03-03,51.53,51.53,42.26,42.35,17600
2008-03-04,41.3,41.3,40.25,40.25,8000
2008-03-05,36.33,37.38,36.33,37.38,19800
2008-03-06,40.06,40.06,40.06,40.06,2900
2008-03-07,43.98,43.98,43.98,43.98,1800
2008-03-10,48.38,48.38,47.42,47.42,23600
2008-03-11,43.98,43.98,43.6,43.6,12800
2008-03-12,43.5,47.99,43.02,44.93,12300
2008-03-13,45.41,45.89,44.17,45.89,4000
2008-03-14,43.98,45.89,43.98,44.74,10100
2008-03-17,42.54,42.54,40.06,40.06,14200
2008-03-18,37.29,37.29,36.62,36.62,17100
2008-03-19,34.42,40.15,33.94,34.9,10800
2008-03-20,39.29,39.29,34.42,34.9,11800
2008-03-21,33.46,33.56,33.17,33.17,20000
2008-03-24,30.59,31.55,30.12,30.12,6900
2008-03-25,27.34,27.73,27.34,27.34,8000
2008-03-26,24.67,29.83,24.67,29.16,12300
2008-03-27,26.58,26.58,26.58,26.58,100
2008-03-28,27.06,27.06,27.06,27.06,300
2008-03-31,27.53,27.53,27.53,27.53,200
2008-04-01,28.01,28.01,28.01,28.01,100
2008-04-02,28.49,28.49,28.49,28.49,100
2008-04-03,28.97,28.97,28.97,28.97,100
2008-04-04,29.54,29.54,29.54,29.54,100
2008-04-07,30.4,30.4,30.4,30.4,100
2008-04-08,31.26,31.26,30.59,31.26,41100
2008-04-09,32.12,32.12,30.4,30.4,15400
2008-04-10,30.21,30.21,30.21,30.21,100
2008-04-11,29.35,29.35,29.35,29.35,500
2008-04-16,28.49,28.49,28.49,28.49,2000
2008-04-17,27.73,29.16,27.73,28.68,7600
2008-04-18,28.68,28.68,27.15,28.59,1900
2008-04-21,28.68,28.68,27.44,28.59,3200
2008-04-22,27.53,27.63,27.53,27.53,8700
2008-04-23,26.77,26.77,26.77,26.77,7500
2008-04-24,26.0,26.0,26.0,26.0,6100
2008-04-25,25.24,25.34,25.24,25.24,3500
2008-04-28,25.24,25.62,25.14,25.34,6000
2008-04-29,24.67,25.43,24.67,24.67,5500
2008-05-05,24.0,24.0,24.0,24.0,600
2008-05-06,23.33,23.33,23.33,23.33,700
2008-05-07,22.66,22.66,22.66,22.66,500
2008-05-08,21.99,21.99,21.99,21.99,500
2008-05-09,21.42,21.42,21.42,21.42,200
2008-05-12,20.84,20.84,20.84,20.84,2600
2008-05-13,20.27,20.27,20.27,20.27,100
2008-05-14,19.69,19.69,19.69,19.69,100
2008-05-15,19.12,19.12,19.12,19.12,1700
2008-05-16,18.55,19.69,18.55,18.55,5400
2008-05-19,18.26,18.26,18.26,18.26,100
2008-05-20,17.78,17.78,17.78,17.78,300
2008-05-21,17.78,17.78,17.78,17.78,0
2008-05-22,17.3,17.3,17.3,17.3,100
2008-05-23,16.83,16.83,16.83,16.83,200
2008-05-26,16.35,16.35,16.35,16.35,100
2008-05-27,15.87,15.87,15.87,15.87,400
2008-05-28,15.49,16.06,15.49,15.97,5000
2008-05-29,15.97,15.97,15.49,15.49,12100
2008-05-30,15.2,15.2,15.2,15.2,3700
2008-06-02,14.82,14.82,14.82,14.82,2000
2008-06-03,14.44,14.44,14.44,14.44,3100
2008-06-04,14.05,14.05,14.05,14.05,200
2008-06-05,13.67,13.67,13.67,13.67,100
2008-06-06,13.29,13.29,13.29,13.29,2500
2008-06-09,12.91,12.91,12.91,12.91,1300
2008-06-10,12.52,13.29,12.52,13.0,14100
2008-06-11,12.62,12.91,12.62,12.91,1000
2008-06-12,13.0,13.0,13.0,13.0,2300
