time,open,high,low,close,volume
2006-12-28,28.64,31.16,28.64,30.4,34900
2006-12-29,33.44,33.44,32.0,33.1,49500
2007-01-02,36.38,36.38,36.38,36.38,45200
2007-01-03,40.01,40.01,40.01,40.01,36700
2007-01-04,43.96,43.96,39.58,41.86,57300
2007-01-05,41.86,41.86,38.74,40.51,27100
2007-01-08,36.47,38.66,36.47,37.82,18700
2007-01-09,36.22,36.22,34.11,34.53,34100
2007-01-10,34.53,34.53,32.51,33.69,38600
2007-01-11,33.69,33.69,32.85,33.69,57200
2007-01-12,36.72,36.72,33.69,34.53,39500
2007-01-15,34.95,36.22,33.69,35.37,47100
2007-01-16,35.79,37.9,34.53,36.22,75000
2007-01-17,37.9,37.9,33.69,33.69,45600
2007-01-18,35.79,35.79,32.85,32.85,40500
2007-01-19,36.22,36.8,32.85,32.85,47100
2007-01-22,33.69,33.69,30.74,32.85,47800
2007-01-23,32.43,32.85,32.43,32.43,32400
2007-01-24,32.43,32.85,31.58,32.0,29700
2007-01-25,31.67,32.34,31.16,31.67,37500
2007-01-26,31.33,32.43,31.16,32.43,34500
2007-01-29,33.69,33.69,32.43,32.85,46200
2007-01-30,33.52,33.69,33.27,33.69,87500
2007-01-31,33.69,34.11,33.6,34.11,78600
2007-02-01,35.37,35.37,34.19,34.45,28200
2007-02-02,34.53,36.22,33.69,34.53,75700
2007-02-05,34.95,35.37,34.36,34.45,98700
2007-02-06,34.53,35.37,34.11,34.53,79100
2007-02-07,34.53,34.95,31.16,34.28,48300
2007-02-08,33.86,34.53,33.27,33.69,43000
2007-02-09,34.53,34.53,33.27,33.77,70400
2007-02-12,33.86,34.53,33.69,34.11,41300
2007-02-13,34.11,34.87,33.69,34.61,45100
2007-02-14,34.53,34.95,33.69,34.53,38900
2007-02-15,36.22,36.64,34.53,36.64,53000
2007-02-26,39.08,39.08,37.9,39.08,37800
2007-02-27,42.87,42.87,42.11,42.87,119800
2007-02-28,47.08,47.08,42.87,45.9,246800
2007-03-01,46.32,46.32,41.35,45.06,105300
2007-03-02,44.22,44.22,42.11,45.06,98700
2007-03-05,43.79,46.32,42.11,45.9,119200
2007-03-06,49.44,49.44,47.16,49.44,143500
2007-03-07,53.48,53.48,53.48,53.48,61900
2007-03-08,58.79,58.79,58.79,58.79,125300
2007-03-09,64.6,64.6,57.02,57.02,232400
2007-03-12,64.01,64.01,57.44,57.44,56400
2007-03-13,51.88,57.27,51.88,55.16,161200
2007-03-14,53.9,54.74,51.37,55.16,146200
2007-03-15,50.53,51.88,48.01,49.52,68200
2007-03-16,48.85,55.59,46.32,55.59,99500
2007-03-19,58.53,59.46,55.16,56.43,130700
2007-03-20,58.95,58.95,52.05,53.9,33700
2007-03-21,53.9,53.9,50.53,52.64,27300
2007-03-22,51.29,52.55,50.45,50.53,60700
2007-03-23,50.87,51.8,49.35,51.37,49300
2007-03-26,45.48,50.95,45.48,51.37,25400
2007-03-27,43.37,43.37,42.87,51.37,18400
2007-03-28,38.66,47.08,38.66,47.0,43300
2007-03-29,44.55,44.55,44.55,44.55,7000
2007-03-30,48.93,48.93,48.09,44.55,104100
2007-04-02,47.16,49.69,44.22,45.48,24500
2007-04-03,44.64,45.82,43.79,44.3,21500
2007-04-04,45.48,48.01,45.48,47.16,19100
2007-04-05,47.08,47.16,42.95,44.64,28600
2007-04-06,45.06,45.06,42.11,44.13,32300
2007-04-09,43.04,43.79,42.19,43.71,22200
