time,open,high,low,close,volume
2005-01-08,6.81,6.81,6.81,6.81,0
2005-02-11,7.53,7.53,7.53,7.53,1000
2005-02-12,7.53,7.53,7.53,7.53,0
2005-03-08,6.17,6.83,6.83,6.83,0
2005-03-10,7.15,7.15,7.15,7.15,0
2005-04-11,7.53,7.53,7.53,7.53,2000
2005-05-08,7.53,7.34,7.34,7.34,0
2005-05-09,6.1,6.44,6.44,6.44,0
2005-05-10,6.44,6.44,6.44,6.44,0
2005-05-12,6.44,6.44,6.44,6.44,0
2005-07-09,6.78,6.78,6.78,6.78,0
2005-07-10,6.78,6.78,6.78,6.78,0
2005-07-11,7.53,7.53,7.53,7.53,18300
2005-07-12,7.53,7.53,7.53,7.53,0
2005-07-14,8.47,8.43,8.43,8.43,0
2005-07-18,8.47,8.32,8.32,8.32,0
2005-07-20,7.91,7.91,7.91,7.91,0
2005-07-22,7.91,7.91,7.91,7.91,0
2005-07-25,7.12,7.19,7.19,7.19,0
2005-07-27,6.48,7.49,7.49,7.49,0
2005-07-29,7.49,7.49,7.49,7.49,0
2005-08-08,7.53,7.53,7.53,7.53,0
2005-08-15,7.15,7.15,7.15,7.15,0
2005-08-17,7.15,7.15,7.15,7.15,0
2005-08-19,7.15,7.15,7.15,7.15,0
2005-08-22,6.44,6.44,6.44,6.44,0
2005-08-24,5.8,6.44,6.44,6.44,0
2005-08-26,5.8,6.44,6.44,6.44,0
2005-08-29,5.8,6.44,6.44,6.44,0
2005-08-31,6.97,6.78,6.78,6.78,0
2005-09-09,6.97,6.97,6.97,6.97,0
2005-09-11,6.97,6.97,6.97,6.97,0
2005-09-12,6.29,6.7,6.7,6.7,0
2005-09-14,6.7,6.7,6.7,6.7,0
2005-09-16,6.81,6.81,6.81,6.81,0
2005-09-19,6.81,6.81,6.81,6.81,0
2005-09-21,6.97,6.97,6.97,6.97,0
2005-09-23,7.12,7.12,7.12,7.12,0
2005-09-26,6.78,7.15,7.15,7.15,0
2005-09-28,7.15,7.15,7.15,7.15,0
2005-09-30,7.3,7.3,7.3,7.3,0
2005-10-08,7.15,7.36,7.36,7.36,0
2005-10-10,7.15,7.15,7.15,7.15,0
2005-10-14,7.34,7.34,7.34,7.34,0
2005-10-17,7.34,7.34,7.34,7.34,0
2005-10-19,7.34,7.34,7.34,7.34,0
2005-10-21,7.34,7.34,7.34,7.34,0
2005-10-24,7.34,7.34,7.34,7.34,0
2005-10-26,7.34,7.34,7.34,7.34,0
2005-10-28,7.53,7.53,7.53,7.53,0
2005-10-31,7.53,7.53,7.53,7.53,0
2005-11-11,7.53,7.53,7.53,7.53,0
2005-11-14,7.53,7.53,7.53,7.53,0
2005-11-16,7.53,7.53,7.53,7.53,2500
2005-11-18,7.53,7.53,7.53,7.53,0
2005-11-21,7.53,7.53,7.53,7.53,6100
2005-11-23,7.53,7.53,7.53,7.53,0
2005-11-25,7.53,7.53,7.53,7.53,0
2005-11-28,7.53,7.53,7.53,7.53,0
2005-11-30,7.53,7.53,7.53,7.53,5200
2005-12-08,7.53,7.53,7.53,7.53,0
2005-12-09,7.53,7.53,7.53,7.53,0
2005-12-10,7.53,7.53,7.53,7.53,0
2005-12-12,7.53,7.53,7.53,7.53,0
2005-12-14,7.53,7.53,7.53,7.53,0
2005-12-16,7.53,7.53,7.53,7.53,0
2005-12-19,7.53,7.53,7.53,7.53,0
2005-12-21,7.53,7.53,7.53,7.53,0
2005-12-23,7.53,7.53,7.53,7.53,0
2005-12-26,7.34,7.34,7.34,7.34,2000
2005-12-28,7.34,7.34,7.34,7.34,0
2005-12-30,7.34,7.34,7.34,7.34,0
2006-01-04,7.34,7.34,7.34,7.34,0
2006-01-06,7.34,7.34,7.34,7.34,0
2006-01-09,7.34,7.34,7.34,7.34,0
2006-01-11,7.34,7.34,7.34,7.34,0
2006-01-13,7.34,7.34,7.34,7.34,0
2006-01-16,7.34,7.34,7.34,7.34,0
